order_item_id,order_id,product_id,quantity,price_per_unit,line_total
e3cb751d-14f5-4671-a7a9-abdf5ac18390,8837ad3a-19bb-4c61-a517-be5e92d83b9f,39e296ff-70ba-4341-adf1-c32ba1d81ddf,2,1793.03,3586.06
4038c7c1-4cd5-49ae-becf-7070f1047030,f99b5f06-e175-4b46-8c8a-81d5d455dd65,f38682a9-341d-44ba-b3a9-1a247c6f4548,1,203.39,203.39
f9d3861b-43a8-49ca-9395-59683354d614,ea1e4b3b-386e-4408-9d62-1f344925465b,87f115bb-407e-4f6b-9109-2541a0748a03,1,1039.7,1039.7
92a70322-d349-4786-bab3-34645ef9c3a6,966357ae-8ca9-4ab2-ba38-528991fcd824,5e53fb8e-f5a1-49d1-963b-75b89a6029e4,2,1488.94,2977.88
07535449-db83-47a6-bd50-ec0e76712441,ab833507-8a4f-4203-8b8d-242e66874b84,8528e2f5-fdd1-41fe-a04e-7c282c5503be,3,240.3,720.9
9dbe5224-b389-4873-b16b-8d5f874dd416,d117baf5-1081-4f48-9ac8-eef456b08327,0a4bd5cb-deab-4144-9510-c29adc25703b,1,189.77,189.77
e4f01259-4c97-4d87-82e6-7172007e733a,1750bced-7d1b-416b-864f-40c2709b714e,99a3d0d9-74e8-4065-8f7d-bdfb67f6d8e0,2,150.65,301.3
ee4b8bdc-5bcf-4cc5-a7a8-a8f65319f91d,227ad6cf-57ad-42db-bda2-dd6c54b7fd90,127dcd88-46d7-49b4-a14d-16c96870007e,3,257.22,771.66
4bd208be-7be9-4e70-886b-1d49fab83098,04fd88ef-eed5-4da1-92d3-373fb9fd1fb1,39e296ff-70ba-4341-adf1-c32ba1d81ddf,2,1793.03,3586.06
69a126b1-f2c0-49b9-961d-f3d93e7a2c00,9c4985ca-ce42-4644-8963-13fb36834aba,b79016b7-5e8c-43c3-852b-5549391fa673,1,854.5,854.5
79a36ad4-fa01-4559-a137-d7dbda60dff1,84dda825-5d06-4510-a819-e02e79d7b51f,181223dc-6a4c-4ac9-8fc3-15f536a24dc9,2,1120.6,2241.2
49bde01d-59a1-4de1-be08-749f61dca9be,e6357502-b737-4b7b-a5e8-1137d6860480,cdf83865-bc39-4c63-8194-405f8e8b191f,1,536.46,536.46
40e2df99-c159-4b5a-ab92-d0f66890feae,97ca23ee-acb4-4c28-88d1-04551d79eb45,f7fc2215-e1ea-4db1-801c-a746587c530a,1,296.02,296.02
f126fffb-d72c-4fb9-a7c9-b871b6348658,4743b4c4-9390-4c57-bea6-caa0121b7f1b,04cdd28d-8e8e-47fc-ac3c-0623c36bf036,3,765.5,2296.5
2efac3d1-6f06-41f1-ba3b-dbcb4cb6ab14,c6fd0b1b-b988-4f65-96da-f8651ed35f66,8b75003e-4807-4774-89c0-f24d1ce7547e,3,1712.32,5136.96
e4e053a7-27b5-4fcb-9d3c-dd8e11f824a1,ca5fea9e-c24d-485c-b720-263a9c5b51b1,7d253fec-5adc-4288-9de3-fa6365e9dac5,2,450.51,901.02
43d6257d-6572-4dde-a0b3-069952ffab35,e61d9ed3-0bfd-476a-a6ba-24a0a0fc9955,5d9fc1d5-71f7-4ee3-90ab-d7de4e20e293,3,335.3,1005.9
98407512-6f78-497c-80b7-db8d2e780fe2,339a9c54-8885-4667-a73a-d20bc03a793a,9c48a6b8-d7b4-488e-955f-b6ebe42d25c5,2,1097.89,2195.78
7b1e5d78-3cfd-4201-851f-6293e51e5f6f,04b17df4-3c5c-42dc-ad73-e2a128c4c3f0,f38682a9-341d-44ba-b3a9-1a247c6f4548,3,203.39,610.17
4fe68e16-af62-43a6-8659-901464c70975,f6df304e-b1f5-4f41-b5bd-353994464556,7d9cfb6c-9abf-4d60-b8d7-eec4bd11371c,1,598.42,598.42
