order_id,user_id,order_date,payment_method,order_status,total_amount
8837ad3a-19bb-4c61-a517-be5e92d83b9f,02a98e46-5202-4563-8ee0-14b4c4ea0662,2025-01-11T00:44:33,Debit Card,Delivered,3586.06
f99b5f06-e175-4b46-8c8a-81d5d455dd65,8a7dbd73-ddd2-4541-b896-cddca98570e7,2025-04-23T11:21:22,Credit Card,Delivered,1323.99
ea1e4b3b-386e-4408-9d62-1f344925465b,83c4c029-cde1-4a9b-9e0d-610482d79ce4,2024-06-10T23:46:34,Credit Card,Shipped,4625.76
966357ae-8ca9-4ab2-ba38-528991fcd824,9beb89df-5e51-4a74-9898-68c01d0c3a40,2025-08-09T05:51:18,Apple Pay,Delivered,2977.88
ab833507-8a4f-4203-8b8d-242e66874b84,82c7c807-6d0c-4a0f-a7a3-39d22bd58952,2025-02-23T11:19:21,Credit Card,Delivered,5705.68
d117baf5-1081-4f48-9ac8-eef456b08327,aa206aa0-90f8-4af6-94bd-4c00582a3dc5,2024-08-26T03:30:36,Google Pay,Shipped,4356.41
1750bced-7d1b-416b-864f-40c2709b714e,02a27e33-6d37-4de6-8b45-25b95ecc47c5,2024-07-25T02:01:27,BNPL,Shipped,5993.33
227ad6cf-57ad-42db-bda2-dd6c54b7fd90,82c7c807-6d0c-4a0f-a7a3-39d22bd58952,2024-12-31T07:04:26,Credit Card,Returned,5479.72
04fd88ef-eed5-4da1-92d3-373fb9fd1fb1,806538bd-9499-4928-be30-84517e4e86e3,2025-01-24T20:18:08,Google Pay,Shipped,3586.06
9c4985ca-ce42-4644-8963-13fb36834aba,a79c39ef-ca83-4a7a-8292-c2452aebb20d,2025-04-03T19:21:19,Credit Card,Processing,5669.16
84dda825-5d06-4510-a819-e02e79d7b51f,0d8cbb19-c8c7-45f2-b06a-728e9ab9a993,2024-09-29T11:59:04,Credit Card,Processing,8780.24
e6357502-b737-4b7b-a5e8-1137d6860480,35466016-bece-4686-8031-f405c8aab45f,2024-10-19T00:54:09,Debit Card,Delivered,5698.53
