product_id,product_name,category,sub_category,brand,price,rating,stock_quantity
88799197-ae78-4112-a6d4-b08daa889cf4,Flex Watch,Outdoors,Travel,Nimbus,1191.28,3.8,220
88eb0efd-49e0-4d61-b8e1-a0e80e375937,Pro Speaker,Fashion,Men,LumaSkin,1314.86,4.6,65
c4aeab2a-25ca-48f5-9b2c-0f81db3b1128,Flex Camera,Home,Decor,Voyage,265.23,3.5,246
0a4bd5cb-deab-4144-9510-c29adc25703b,Prime Headphones,Home,Kitchen,TempoFit,189.77,4.3,286
90578359-5f2d-4b94-952e-bc6930ff5dec,Pro Diffuser,Outdoors,Camping,PulseGear,311.87,4.0,119
e9edad0f-c915-46ab-8544-17472fe77d69,Ultra Lamp,Outdoors,Travel,LumaSkin,18.85,3.9,484
5b19203e-86c6-4de4-a0ab-e597b2465ab4,Glow Mat,Outdoors,Travel,TempoFit,1196.44,4.0,107
3ab9ad3d-a3bb-4390-922e-6e89f5787765,Ultra Jacket,Beauty,Skincare,TempoFit,123.81,3.7,35
f7fc2215-e1ea-4db1-801c-a746587c530a,Air Diffuser,Fitness,Wearables,TempoFit,296.02,4.8,51
fa645c0e-0d95-4049-b6bf-ca1866e1fd78,Pro Jacket,Outdoors,Camping,Nimbus,1220.25,3.6,71
181223dc-6a4c-4ac9-8fc3-15f536a24dc9,Nova Jacket,Fitness,Equipment,Apex,1120.6,3.9,308
be03104b-3136-465c-81c8-d36b467670b7,Pure Diffuser,Fitness,Supplements,UrbanLeaf,379.6,4.4,132
02b27a83-07c3-4d2d-8255-8a74ecff84e8,Max Bike,Beauty,Makeup,UrbanLeaf,831.15,4.8,489
39e296ff-70ba-4341-adf1-c32ba1d81ddf,Prime Jacket,Electronics,Smartphones,Crafted,1793.03,3.3,119
0bc3b889-89d7-4e37-90af-e98293e303c5,Max Diffuser,Fitness,Wearables,Zenova,1587.34,4.7,199
72519764-0683-4513-a2d5-8515611c9e7e,Prime Router,Beauty,Skincare,TempoFit,1270.82,4.2,423
e827139b-d210-4fba-9bb8-4615c8769cfb,Ultra Bike,Accessories,Jewelry,TempoFit,549.39,4.3,490
5cb434d8-90e7-4531-8090-dbcda71ac68b,Pro Diffuser,Home,Furniture,Nimbus,1340.21,3.5,154
4ce856f3-aaf2-40f7-9c66-18e2341d20fb,Pure Blender,Fitness,Equipment,UrbanLeaf,917.16,3.6,474
bfc8fa46-7569-49ec-b12a-d5f186f44ecc,Pro Bike,Outdoors,Camping,LumaSkin,1495.39,3.3,180
bf167cad-c769-433a-a14f-e75a9aa42796,Glow Lamp,Outdoors,Camping,Voyage,999.75,3.9,14
21637a29-aa29-4e59-a5a9-a65499464720,Max Camera,Electronics,Smartphones,Apex,1504.75,4.2,85
4f106bcd-5242-4970-88c3-c1c4db236cc8,Ultra Serum,Fashion,Women,Zenova,1619.68,4.6,450
165edf94-ee0b-4ed5-8440-70cb81ca8ba4,Flex Bike,Electronics,Tablets,PulseGear,1205.48,3.8,296
cc63a443-2c0f-4e89-a143-ccd6aeb07cf6,Nova Monitor,Outdoors,Travel,Solace,1667.49,3.6,93
26b3786c-beec-4cfa-ace2-5c2a1a7fa019,Edge Speaker,Outdoors,Camping,Solace,1329.77,3.8,486
8c3f8e12-7f15-438b-a899-3852a15c5deb,Glow Lamp,Fashion,Women,Nimbus,697.84,3.3,250
f94f39cf-1cb0-4067-ad00-ff3df5042bdd,Prime Sneaker,Home,Decor,UrbanLeaf,1479.66,4.7,124
eaff0482-e429-4ae2-8056-da63257284f4,Edge Sneaker,Electronics,Laptops,UrbanLeaf,1557.87,4.8,152
0e7a50fb-7e18-4277-bfc3-57a6a0746a19,Air Mat,Beauty,Haircare,TempoFit,606.1,3.2,459
12603fbf-0d0c-43be-b0cb-2f32bb364547,Nova Serum,Beauty,Skincare,Apex,208.5,3.9,383
2ff14d4b-e45f-4b22-8165-a855b696ab9c,Edge Jacket,Outdoors,Travel,TempoFit,221.43,4.7,107
70d84377-b274-44fc-b06b-d9aab2437a4e,Edge Speaker,Beauty,Skincare,TempoFit,1667.15,4.1,378
d4b2d20a-8bec-43c9-85ab-4235762eaab7,Flex Sneaker,Accessories,Jewelry,LumaSkin,139.9,4.3,179
f1744eeb-004d-4e53-829e-befd77d3f6e8,Pro Monitor,Fitness,Wearables,UrbanLeaf,920.21,4.3,177
04cdd28d-8e8e-47fc-ac3c-0623c36bf036,Air Lamp,Fashion,Athleisure,PulseGear,765.5,4.8,356
bebf85ec-541f-4447-b26d-0a4d0234bfa5,Nova Jacket,Accessories,Bags,UrbanLeaf,739.84,4.6,165
9c48a6b8-d7b4-488e-955f-b6ebe42d25c5,Edge Headphones,Beauty,Skincare,Crafted,1097.89,3.7,236
c4a3c5cc-141a-4d96-a36a-44424b3cd5eb,Air Backpack,Fashion,Women,Solace,1191.05,3.7,349
a0585708-2c79-46e0-bcfc-310be032a3ca,Pure Watch,Accessories,Jewelry,PulseGear,1215.94,3.6,111
9798f0bd-afef-48fa-9785-be3f4e93898b,Ultra Blender,Home,Kitchen,Voyage,1106.12,4.5,243
7d253fec-5adc-4288-9de3-fa6365e9dac5,Edge Backpack,Fashion,Women,LumaSkin,450.51,4.3,12
078c6b87-45cb-498e-bb8f-cd3edb80a584,Edge Blender,Outdoors,Camping,Solace,1450.34,4.4,247
200c72ba-9899-4a7a-8c39-5b6994f2cf62,Flex Diffuser,Electronics,Audio,Nimbus,829.78,4.6,351
0c15dcc0-ec72-40e2-be21-f8afa3f0f58f,Nova Sneaker,Fitness,Supplements,Voyage,1108.58,4.4,268
01f84cec-e491-4af9-8802-47ef9cdf8947,Max Monitor,Fashion,Footwear,Voyage,818.37,4.5,440
d2054c3f-782c-41ee-970f-b40351d3ecab,Air Backpack,Accessories,Watches,PulseGear,505.16,3.3,156
be5889fd-5c70-45c3-8708-36e76498ec37,Pure Sneaker,Home,Furniture,TempoFit,158.83,3.5,206
9009abfb-324e-4d9d-a258-476907f7bc40,Flex Watch,Accessories,Bags,LumaSkin,742.56,4.1,222
bf03b6c5-0d2c-47f7-b58a-3731db9f68d4,Edge Mat,Electronics,Laptops,Crafted,1703.72,3.2,460
99fc97a1-6c8e-49ed-af25-13f0bea2bb70,Edge Backpack,Outdoors,Cycling,Apex,1697.79,3.7,209
9c3c5ec3-a261-42a5-9c88-171062b6ea7b,Air Monitor,Outdoors,Travel,TempoFit,1442.76,4.7,259
32d20a60-40e3-4725-8595-c8ca49d05c00,Edge Backpack,Home,Furniture,Apex,709.11,4.3,418
b8ab0bf3-330a-4732-b832-d4ba46f27daf,Prime Diffuser,Fashion,Women,Solace,1765.59,4.1,474
127dcd88-46d7-49b4-a14d-16c96870007e,Pro Bike,Fashion,Men,LumaSkin,257.22,4.0,35
